Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
76,Exit short,2003-02-06,MacdLE,0.09,1,0.1,0.01,10.00,0.02,20.00,0,0.00,0.07,0.00
76,Entry short,2003-01-16,MacdSE,0.1,1,0.1,0.01,10.00,0.02,20.00,0,0.00,0.07,0.00
77,Exit long,2003-03-11,MacdSE,0.1,1,0.09,0.01,11.11,0.02,22.22,-0.01,-11.11,0.08,0.00
77,Entry long,2003-02-06,MacdLE,0.09,1,0.09,0.01,11.11,0.02,22.22,-0.01,-11.11,0.08,0.00
78,Exit short,2003-03-14,MacdLE,0.12,1,0.1,-0.02,-20.00,0,0.00,-0.02,-20.00,0.06,0.00
78,Entry short,2003-03-11,MacdSE,0.1,1,0.1,-0.02,-20.00,0,0.00,-0.02,-20.00,0.06,0.00
79,Exit long,2003-03-31,MacdSE,0.11,1,0.12,-0.01,-8.33,0,0.00,-0.01,-8.33,0.05,0.00
79,Entry long,2003-03-14,MacdLE,0.12,1,0.12,-0.01,-8.33,0,0.00,-0.01,-8.33,0.05,0.00
80,Exit short,2003-04-23,MacdLE,0.12,1,0.11,-0.01,-9.09,0,0.00,-0.01,-9.09,0.04,0.00
80,Entry short,2003-03-31,MacdSE,0.11,1,0.11,-0.01,-9.09,0,0.00,-0.01,-9.09,0.04,0.00
81,Exit long,2003-06-12,MacdSE,0.22,1,0.12,0.1,83.33,0.11,91.67,-0.01,-8.33,0.14,0.00
81,Entry long,2003-04-23,MacdLE,0.12,1,0.12,0.1,83.33,0.11,91.67,-0.01,-8.33,0.14,0.00
82,Exit short,2003-07-10,MacdLE,0.2,1,0.22,0.02,9.09,0.04,18.18,0,0.00,0.16,0.00
82,Entry short,2003-06-12,MacdSE,0.22,1,0.22,0.02,9.09,0.04,18.18,0,0.00,0.16,0.00
83,Exit long,2003-07-11,MacdSE,0.2,1,0.2,0,0.00,0.01,5.00,0,0.00,0.16,0.00
83,Entry long,2003-07-10,MacdLE,0.2,1,0.2,0,0.00,0.01,5.00,0,0.00,0.16,0.00
84,Exit short,2003-08-21,MacdLE,0.15,1,0.2,0.05,25.00,0.07,35.00,-0.01,-5.00,0.21,0.00
84,Entry short,2003-07-11,MacdSE,0.2,1,0.2,0.05,25.00,0.07,35.00,-0.01,-5.00,0.21,0.00
85,Exit long,2003-09-25,MacdSE,0.15,1,0.15,0,0.00,0.03,20.00,-0.01,-6.67,0.21,0.00
85,Entry long,2003-08-21,MacdLE,0.15,1,0.15,0,0.00,0.03,20.00,-0.01,-6.67,0.21,0.00
86,Exit short,2003-10-15,MacdLE,0.15,1,0.15,0,0.00,0.02,13.33,0,0.00,0.21,0.00
86,Entry short,2003-09-25,MacdSE,0.15,1,0.15,0,0.00,0.02,13.33,0,0.00,0.21,0.00
87,Exit long,2003-11-21,MacdSE,0.17,1,0.15,0.02,13.33,0.03,20.00,-0.01,-6.67,0.23,0.00
87,Entry long,2003-10-15,MacdLE,0.15,1,0.15,0.02,13.33,0.03,20.00,-0.01,-6.67,0.23,0.00
88,Exit short,2003-11-26,MacdLE,0.18,1,0.17,-0.01,-5.88,0.01,5.88,-0.01,-5.88,0.22,0.00
88,Entry short,2003-11-21,MacdSE,0.17,1,0.17,-0.01,-5.88,0.01,5.88,-0.01,-5.88,0.22,0.00
89,Exit long,2003-12-05,MacdSE,0.17,1,0.18,-0.01,-5.56,0.01,5.56,-0.01,-5.56,0.21,0.00
